	model	target_class	precision	recall	f1
0	/home/ahatfield/midtermreplication/afrolm_kin_model	SYM	0.0	0.0	0.0
1	/home/ahatfield/midtermreplication/afrolm_kin_model	VERB	0.9756935270805812	0.9754358161648178	0.9755646546030907
2	/home/ahatfield/midtermreplication/afrolm_kin_model	NUM	0.9477351916376306	1.0	0.9731663685152058
3	/home/ahatfield/midtermreplication/afrolm_kin_model	PUNCT	0.9981017463933182	0.9973444613050075	0.9977229601518026
4	/home/ahatfield/midtermreplication/afrolm_kin_model	NOUN	0.9322268326417704	0.9482273494653911	0.9401590179941415
5	/home/ahatfield/midtermreplication/afrolm_kin_model	ADP	0.9803921568627451	0.9847806624888094	0.9825815096025011
6	/home/ahatfield/midtermreplication/afrolm_kin_model	PROPN	0.8767833981841764	0.9209809264305178	0.8983388704318936
7	/home/ahatfield/midtermreplication/afrolm_kin_model	PRON	0.9187066974595843	0.95625	0.9371024734982332
8	/home/ahatfield/midtermreplication/afrolm_kin_model	DET	1.0	0.8625	0.9261744966442953
9	/home/ahatfield/midtermreplication/afrolm_kin_model	CCONJ	0.9771634615384616	0.9818840579710145	0.9795180722891567
10	/home/ahatfield/midtermreplication/afrolm_kin_model	ADJ	0.7419354838709677	0.21904761904761905	0.3382352941176471
11	/home/ahatfield/midtermreplication/afrolm_kin_model	ADV	0.8613861386138614	0.7310924369747899	0.7909090909090909
12	/home/ahatfield/midtermreplication/afrolm_kin_model	SCONJ	0.9211267605633803	0.9505813953488372	0.9356223175965666
13	/home/ahatfield/midtermreplication/afrolm_kin_model	PART	0.0	0.0	0.0
14	/home/ahatfield/midtermreplication/afrolm_kin_model	AUX	0.0	0.0	0.0
15	/home/ahatfield/midtermreplication/afrolm_kin_model	X	0.0	0.0	0.0
